"team","home_matches_played","home_wins","home_draws","home_losses","goals_scored_at_home","goals_conceded_at_home","home_points"
"Liverpool","19","15","3","1","49","17","48"
"Manchester City","19","14","5","0","51","16","47"
"Arsenal","19","15","2","2","48","16","47"
"Newcastle","19","12","4","3","49","22","40"
"Aston Villa","19","12","4","3","48","28","40"
"Tottenham","19","13","0","6","38","27","39"
"Chelsea","19","11","4","4","44","26","37"
"Manchester United","19","10","3","6","31","28","33"
"Brighton","19","8","6","5","30","27","30"
"Fulham","19","9","2","8","31","24","29"
"West Ham","19","7","8","4","31","28","29"
"Crystal Palace","19","8","4","7","37","26","28"
"Everton","19","8","4","7","22","18","28"
"Bournemouth","19","7","6","6","27","28","27"
"Wolves","19","8","3","8","26","30","27"
"Brentford","19","5","7","7","29","34","22"
"Nottingham Forest","19","5","5","9","27","30","20"
"Luton","19","4","4","11","28","37","16"
"Sheffield Utd","19","2","4","13","19","57","10"
"Burnley","19","2","4","13","19","43","10"
