"stadium","home_team","total_goals"
"Bramall Lane","Sheffield Utd","76"
"Villa Park","Aston Villa","76"
"St. James' Park","Newcastle","71"
"Stamford Bridge","Chelsea","70"
"Etihad Stadium","Manchester City","67"
"Anfield","Liverpool","66"
"Tottenham Hotspur Stadium","Tottenham","65"
"Kenilworth Road","Luton","65"
"Emirates Stadium","Arsenal","64"
"Gtech Community Stadium","Brentford","63"
"Selhurst Park","Crystal Palace","63"
"Turf Moor","Burnley","62"
"Old Trafford","Manchester United","59"
"London Stadium","West Ham","59"
"The City Ground","Nottingham Forest","57"
"Molineux Stadium","Wolves","56"
"Vitality Stadium","Bournemouth","55"
"Craven Cottage","Fulham","55"
"Goodison Park","Everton","40"
"The American Express Community Stadium","Brighton","30"
